0,1162.8400000000004, 1909,0
1,1162.3600000000004, 1734,0
2,1162.8400000000004, 1790,0
3,1160.9200000000003, 1731,0
4,1162.3600000000004, 1775,0
5,1162.8400000000004, 1717,0
6,1161.8800000000003, 1773,0
7,1161.8800000000003, 1698,0
8,1162.8400000000004, 1736,0
9,1161.0000000000002, 1706,0
10,1161.0000000000002, 1793,0
11,1160.9200000000003, 1701,0
12,1161.8800000000003, 1797,0
13,1161.0000000000002, 1807,0
14,1162.8400000000004, 1728,0
15,1161.8800000000003, 1957,0
16,1161.8800000000003, 1838,0
17,1161.4000000000003, 2062,0
18,1160.9200000000003, 2153,0
19,1162.8400000000004, 2512,0
20,1162.8400000000004, 1769,0
21,1161.0000000000002, 1780,0
22,1160.9200000000003, 1684,0
23,1160.9200000000003, 1784,0
24,1162.8400000000004, 1681,0
25,1161.8800000000003, 1877,0
26,1160.9200000000003, 1737,0
27,1162.8400000000004, 1779,0
28,1160.7200000000003, 1704,0
29,1161.0000000000002, 1754,0
30,1161.8800000000003, 1711,0
31,1161.4000000000003, 1761,0
32,1161.4000000000003, 1676,0
33,1162.8400000000004, 1771,0
34,1161.4000000000003, 1791,0
35,1162.8400000000004, 1817,0
36,1162.3600000000004, 1687,0
37,1161.4000000000003, 1777,0
38,1161.8400000000001, 1708,0
39,1161.4000000000003, 1806,0
40,1161.4000000000003, 1736,0
41,1160.9200000000003, 1739,0
42,1161.5600000000002, 1797,0
43,1162.3600000000004, 1826,0
44,1160.9200000000003, 1768,0
45,1162.8400000000004, 2031,0
46,1160.7200000000003, 1861,0
47,1160.9200000000003, 1933,0
48,1161.8400000000001, 1716,0
49,1161.8400000000001, 1774,0
50,1162.8400000000004, 1749,0
51,1162.8400000000004, 1693,0
52,1161.8400000000001, 1676,0
53,1161.5600000000002, 1785,0
54,1162.3600000000004, 1684,0
55,1160.7200000000003, 1670,0
56,1161.8800000000003, 1714,0
57,1161.4000000000003, 1800,0
58,1161.8800000000003, 1676,0
59,1161.4000000000003, 1686,0
60,1160.7200000000003, 1667,0
61,1161.4000000000003, 1761,0
62,1162.8400000000004, 1692,0
63,1160.9200000000003, 1661,0
64,1162.3600000000004, 1755,0
65,1161.8800000000003, 1688,0
66,1161.8800000000003, 1682,0
67,1161.4000000000003, 1736,0
68,1162.8400000000004, 1696,0
69,1161.4000000000003, 1663,0
70,1161.2800000000002, 1753,0
71,1161.4000000000003, 1694,0
72,1161.8800000000003, 1665,0
73,1161.0000000000002, 1744,0
74,1162.8400000000004, 1750,0
75,1162.3600000000004, 1672,0
76,1161.8800000000003, 1793,0
77,1161.8400000000001, 1705,0
78,1162.8400000000004, 1689,0
79,1160.7200000000003, 1767,0
80,1161.4000000000003, 1725,0
81,1161.8800000000003, 1699,0
82,1161.4000000000003, 1774,0
83,1162.8400000000004, 1706,0
84,1160.9200000000003, 1663,0
85,1160.9200000000003, 1657,0
86,1161.5600000000002, 1700,0
87,1161.4000000000003, 1767,0
88,1162.3600000000004, 1703,0
89,1161.2800000000002, 1666,0
90,1162.3600000000004, 1671,0
91,1162.8400000000004, 1793,0
92,1161.8400000000001, 1708,0
93,1160.9200000000003, 1663,0
94,1161.4000000000003, 1693,0
95,1161.8800000000003, 1690,0
96,1161.8800000000003, 1742,0
97,1160.7200000000003, 1691,0
98,1161.2800000000002, 1681,0
99,1161.2800000000002, 1794,0
